"Territorial emissions in tCO₂ per person"
;EU28;World;Austria;China;France;Germany;Italy;Switzerland;"United States of America"
1960;6.4665929434679;3.1024960223633;4.3537715715666;1.1844243767198;5.9164604182203;11.087060585517;2.1953815629692;3.6809791624733;15.458743069925
1961;6.6403210014218;3.0586323507361;4.4752305607173;0.82437487923064;6.0548377622915;11.292596282266;2.4827511288068;3.7744787293078;15.171607610149
1962;6.964082221186;3.1239882761142;4.7318415841197;0.64634576038951;6.3424816360437;11.856340082424;2.8968560589847;4.3830108606254;15.509546445246
1963;7.3746382096831;3.233081214002;5.127550758438;0.62910569673862;6.9949056748063;12.593199362275;3.23269878826;5.1737063998556;15.978273724126
1964;7.5841565229778;3.350772226035;5.3605171158961;0.61674137565534;7.13879849646;12.803495945366;3.4238512064216;4.9089583248974;16.470326744227
1965;7.6595797481442;3.4333978036306;5.221050660369;0.65694082968635;7.1929597523138;12.590525751402;3.6638951278541;5.2022519552463;16.956602574555
1966;7.7310292726223;3.5343681954311;5.3328781432597;0.70396485707573;7.0349128228277;12.38567259462;4.1058857367959;5.3212919110299;17.621860566639
1967;7.7593213211379;3.5731006301095;5.3960629002628;0.56813885414567;7.4806351671209;12.103389538165;4.460591604795;5.4274269365899;18.106006920378
1968;8.1359767885975;3.6778965014225;5.6854158010823;0.59821020233139;7.68248451742;12.65124159132;4.7145984548356;5.9410758374542;18.594804387856
1969;8.5935977492584;3.8187501705539;5.9682223552701;0.71672601580626;8.1987133853867;13.443304936375;5.0675946134785;6.2221962012337;19.358996994045
1970;8.9281272608448;4.0117561105629;6.7363078795126;0.9337754347355;8.6465773456991;13.058207131347;5.531388294856;6.5232557423317;20.63809809858
1971;9.0774597144117;4.081189347641;6.8962722208536;1.0337497856163;9.0327941526095;13.165132074223;5.7655162851926;6.7326193195197;20.577299808356
1972;9.2786557639998;4.1604057714415;7.3961792173897;1.0730142699575;9.3083265801552;13.199708087431;6.0425508241598;6.8444931126528;21.365899780922
1973;9.6574404605656;4.301259061179;7.889481685775;1.0909462089795;9.9129546336521;13.754611716949;6.4618183029136;7.3203772555335;22.123292831716
1974;9.465748965174;4.2272506253822;7.5127617753849;1.0901620643935;9.4977209940213;13.466316983796;6.5110624947907;6.533101237616;21.144426291746
1975;9.1923908852255;4.1248544547539;7.0982335101626;1.2401411561692;8.447459599217;12.71064299064;6.1638952151947;6.143795374112;20.076134474415
1976;9.7775511066116;4.2849639070992;7.6176170686931;1.2710152629983;9.5070096623578;13.844071037652;6.5785521177531;6.3628066962171;20.824374196048
1977;9.6421818556223;4.3401668742103;7.3323698998085;1.3702754429675;9.0063697145387;13.37458719655;6.3464494304134;6.4716178263954;21.20401483688
1978;9.8903618740062;4.3122845459457;7.5024787752209;1.5064156433916;9.4387668399624;13.731222303247;6.6231520491856;6.6708165026374;21.658777684457
1979;10.218625541389;4.4729700309223;8.0497418968312;1.517647222697;9.8451464351608;14.248733233159;6.8493834315908;6.3211374733431;21.502836218568
1980;9.955934599973;4.3486551773307;6.8367142582308;1.4678740376918;9.3617616319724;14.049174559854;6.8493148742527;6.4233034721374;20.528611362631
1981;9.4288780361886;4.140097201016;7.3421795715255;1.4313314309897;8.3909503555791;13.420822827668;6.6335063757209;6.1450967806392;19.532594874971
1982;9.1808616455122;4.0322533551273;7.0461489932955;1.5362808342287;8.0298673703641;13.031353913218;6.4685915754895;5.7690961260563;18.374075682026
1983;9.064785300599;3.9454060006046;6.7957920333043;1.5965407849262;7.7338355883903;13.00419282253;6.3057346076417;6.275914032957;18.345786339475
1984;9.0692765638522;4.0148189263863;7.1267137995079;1.7112597129007;7.3916646944418;13.297027594445;6.4035187936568;6.0978181169307;18.729050958353
1985;9.2296296660051;4.0610397897264;7.1396116124403;1.8226164233914;7.2649385038836;13.434696522586;6.4719834747389;6.1614962553963;18.620801770188
1986;9.202220482842;4.1090766708841;7.046128638878;1.882189809673;6.9549343720814;13.457052192067;6.3648241193173;6.5052418461967;18.461026166157
1987;9.2632069539632;4.1364554240036;7.5104537662357;1.971538502255;6.7772607659491;13.227160202734;6.6579603296588;6.1550494810919;19.074080977311
1988;9.1423213880853;4.2111040987385;6.9120650124562;2.0724099647187;6.6489844735807;13.132886345827;6.7590517983533;6.1867855013781;19.720669828207
1989;9.2378154149613;4.2273336097708;6.9858839545118;2.0691362430311;6.9346784555282;12.86593091256;7.0866803217801;5.9550803690199;19.783128028351
1990;9.3831228214238;4.1609534159269;8.0648124424436;2.0643200210978;7.0768221708829;13.309147870495;7.7011426446843;6.6161240110324;20.279830174599
1991;9.2380528968313;4.1392094048516;8.4783526344317;2.1350144473327;7.4889362259862;12.756604852715;7.7003504097702;6.8446414062814;19.887608587733
1992;8.9111003554875;4.0322470145607;7.7170242677341;2.2068968362919;7.277690822477;12.076854607773;7.6799955907517;6.7517184671836;20.097002235422
1993;8.7119234328817;3.9643463015909;7.7023615809559;2.3299052032468;6.9035594881065;11.885160880599;7.5419585564746;6.3272244471531;20.324144756977
1994;8.6478912416592;3.9739969138033;7.6995961726941;2.4493587969298;6.7837629924584;11.619867832912;7.4319727597072;6.1308702170856;20.468733523496
