"Territorial emissions in tCO₂ per person"
;Austria;France;Germany;Italy;Switzerland
1960;4.3537715715666;5.9413643194187;11.087088977385;2.1972476391375;3.6917404576683
1961;4.4752305607173;6.0815141580126;11.292591088729;2.4849051505697;3.7854559336617
1962;4.7318415841197;6.3714633721734;11.856290421997;2.8994492107117;4.3957556009676
1963;5.127550758438;7.0273464132015;12.593081784428;3.2357025629318;5.1888078257605
1964;5.3605171158961;7.1711585268084;12.80327668108;3.4271509045334;4.9233577006487
1965;5.221050660369;7.2232981251718;12.590178041836;3.6675398618777;5.2175601955048
1966;5.3328781432597;7.0604686871827;12.385150207219;4.1100841496015;5.3370100396933
1967;5.3960629002628;7.5018565053254;12.102670913026;4.4652702779325;5.4435385662238
1968;5.6854158010823;7.6982352396268;12.650308112;4.7196600298861;5.9588134672268
1969;5.9682223552701;8.2115589580961;13.442252122408;5.0731477045258;6.2408594135984
1970;6.7363078795126;8.660188180897;13.057309589654;5.5375599630852;6.5428821893292
1971;6.8962722208536;9.0521531288265;13.16457549231;5.7720486050609;6.7529009185792
1972;7.3961924080581;9.3379389495701;13.199689517927;6.0494861095284;6.865113237464
1973;7.889481685775;9.9566565890451;13.755258214128;6.4693177607003;7.3424167978142
1974;7.5127617753849;9.5492550766475;13.467582045917;6.5186950553365;6.5527862723471
1975;7.0982335101626;8.4980129278878;12.712328855371;6.1711905796051;6.1623711441883
1976;7.6176170686931;9.5643049352515;13.846312570961;6.5864091217185;6.3821442449101
1977;7.3323829946824;9.0569629086331;13.377048041144;6.354094131939;6.4914427264955
1978;7.5024918852313;9.4854208418259;13.733969071998;6.6312012358289;6.6914480444757
1979;8.049755023836;9.8864593067157;14.251762700616;6.8577899143917;6.3408682954995
1980;6.8367142582308;9.3948970714696;14.052322915163;6.8578148081178;6.4435204505786
1981;7.3421927216115;8.4161562164404;13.423958104496;6.6418445305427;6.1645747050672
1982;7.0461621474153;8.0506758127575;13.034503973263;6.4768362137269;5.7874755454045
1983;6.7958051858307;7.7517096317463;13.007514843762;6.3138908696096;6.2960052668465
1984;7.1267269447884;7.4079047594582;13.300799107441;6.4119149810535;6.117429684869
1985;7.1396247446443;7.2811945840481;13.439164172135;6.4805743999476;6.1814108907199
1986;7.0461417529562;6.972227861766;13.462473601218;6.3735195804586;6.5263885121127
1987;7.5104668563512;6.797140573327;13.233661811103;6.6675015240474;6.1751787124898
1988;6.9120780692638;6.6721008368177;13.140682201359;6.7691213520431;6.2071297451809
1989;6.9858969642124;6.9629775061137;12.824531072554;7.0971752592725;5.9747444815131
1990;8.0687482529986;7.0740407676453;13.313941268286;7.7064556386985;6.638114569536
1991;8.4824438763308;7.4897458141234;12.761722782255;7.6959033485658;6.8673435307467
1992;7.7183140246507;7.2729443516344;12.082774268585;7.6515680920494;6.7740816669626
1993;7.7046930304611;6.8981100195238;11.892759830227;7.5273298555309;6.3481493699675
1994;7.7007286457422;6.781567222024;11.627789795637;7.425000625726;6.1511022330028
1995;8.0434576647838;6.8780707039832;11.579471630163;7.8957214563551;6.2060281142748
1996;8.4428481753804;7.1205610392239;11.799840941746;7.7838333240603;6.2657847725352
1997;8.3984366246908;6.9729870285391;11.446669208295;7.8876412827018;6.0883145354012
1998;8.3405401035934;7.2793667318422;11.34881283321;8.1051344700187;6.2907708512825
1999;8.1649580623201;7.1824520217665;11.012574074431;8.1949610940709;6.2462306889348
2000;8.217936776484;7.0502266064263;11.061014056334;8.2955676883679;6.1049354814642
2001;8.6783016710325;7.0847158294744;11.256829554539;8.3686060626797;6.2787489749858
2002;8.8665290127916;6.9549877573098;11.042938035955;8.3505380376825;6.0189377923064
2003;9.5157177502724;7.014477361161;11.044736233982;8.5252134524093;6.142294292288
2004;9.4831020086274;6.9806308713959;10.869518994782;8.5350138253976;6.1756313750753
2005;9.619368400647;6.9868343041892;10.620237621675;8.4840033868891;6.1975552118802
2006;9.3008822929841;6.7644279791196;10.777617638678;8.3529266089035;6.0828848861847
2007;8.9573437312246;6.5552976765008;10.475408853804;8.1548245645914;5.7530189139366
2008;8.8385442865891;6.4182878910512;10.531838401992;7.9337282377316;5.8649284825132
2009;8.0886809847715;6.1104553834248;9.7518403006399;7.0496708223625;5.6428928668748
2010;8.5884349595937;6.1996964671969;10.298386422894;7.1866726380441;5.7683537860136
2011;8.2974616079184;5.7769935880304;10.014744551128;6.9466457241257;5.182590294767
2012;7.9481646396879;5.7555145684866;10.054484090599;6.5570018145284;5.2757288575492
2013;7.966303689645;5.7416130977278;10.24424865549;6.0513259548492;5.3248920504168
2014;7.4829714038444;5.2250623310286;9.7334502241352;5.7697350190251;4.7805496513406
2015;7.6893091790668;5.2923035628952;9.7318094590377;5.8731172815224;4.6678498573241
2016;7.6955051621066;5.3033593517223;9.7532309262182;5.8270601581918;4.6762396333997
2017;7.9341933656625;5.3442333639496;9.6537836821902;5.7519385540697;4.5142602643108
2018;7.7456860503669;5.1994267286189;9.1309138549397;5.5754874483836;4.3250155326111

Sources
