year,label,value
2011,Frankreich,5.89
2011,Italien,6.92
2011,Österreich,8.29
2012,Schweiz,5.26
2012,Deutschland,10.06
2012,Frankreich,5.88
2012,Italien,6.56
2012,Österreich,7.94
2013,Schweiz,5.31
2013,Deutschland,10.25
2013,Frankreich,5.86
2013,Italien,6.09
2013,Österreich,7.93
2014,Schweiz,4.77
2014,Deutschland,9.74
2014,Frankreich,5.35
2014,Italien,5.85
2014,Österreich,7.44
2015,Schweiz,4.66
2015,Deutschland,9.76
2015,Frankreich,5.40
2015,Italien,5.97
2015,Österreich,7.69
2016,Schweiz,4.67
2016,Deutschland,9.79
2016,Frankreich,5.41
2016,Italien,5.89
2016,Österreich,7.74
2017,Schweiz,4.73
2017,Deutschland,9.73
2017,Frankreich,5.48
2017,Italien,5.99
2017,Österreich,8.01
